       #NI      #im       #nc       #ic                                                      #SMILES
        1   000001         1         1                                                            C
        1   000002         1         2                                                            N
        2   000003         1         3                                                          C=C
        2   000004         1         4                                                          C=N
        2   000005         1         5                                                          C=O
        3   000006         2         7                                                       C(=N)N
        3   000007         1         8                                                       C(=O)N
        3   000008         1         9                                                         C=CN
        3   000009         1        10                                                         CC=C
        4   000010         2        12                                                     C(=N)C=N
        4   000011         1        13                                                    C(=O)(N)N
        4   000012         1        14                                                       C=CC=N
        4   000013         1        15                                                       C=CC=O
        4   000014         2        17                                                       C=CN=C
        4   000015         1        18                                                       C=NC=N
        4   000016         1        19                                                        CC=CN
        5   000017         1        20                                                    C(=CN)C=N
        5   000018         1        21                                                    C(=CN)C=O
        5   000019         1        22                                                  C(=N)C(=N)N
        5   000020         1        23                                                    C(=NC=N)N
        5   000021         1        24                                                    C(=O)NC=O
        5   000022         1        25                                                    C=C(N)N=C
        5   000023         1        26                                                    C=CC(=N)N
        5   000024         1        27                                                    C=CC(=O)N
        5   000025         1        28                                                      C=CNC=O
        5   000026         1        29                                                      C=NC=CN
        5   000027         1        30                                                    CC(=C)C=O
        5   000028         1        31                                                   c1cnc[nH]1
        6   000029         1        32                                                 C(=CN)C(=N)N
        6   000030         1        33                                                C(=N)N.C(=O)N
        6   000031         1        34                                                 C(=O)NC(=O)N
        6   000032         1        35                                                    C=NC=CN=C
        6   000033         1        36                                                 CC(=C)C(=O)N
        6   000034         1        37                                                   CC(=CN)C=O
        6   000035         1        38                                                     CC=CNC=O
        6   000036         1        39                                                     c1cncnc1
        7   000037         1        40                                                 C=NC=C(N)N=C
        7   000038         1        41                                                    c1cncnc1N
        8   000039         1        42                                           C(=N)C(=N)N.C(=O)N
        8   000040         1        43                                             C(=N)N.C(=O)NC=O
        8   000041         1        44                                             C(=N)N.C=CC(=O)N
        8   000042         1        45                                             C(=NC=N)N.C(=O)N
        8   000043         1        46                                             C(=O)N.C=C(N)N=C
        8   000044         1        47                                             C(=O)N.C=CC(=N)N
        8   000045         1        48                                                 c1c(ncnc1N)N
        8   000046         1        49                                         c1c[nH]c(=O)[nH]c1=O
        9   000047         1        50                                          C(=N)N.C(=O)NC(=O)N
        9   000048         1        51                                          C(=N)N.CC(=C)C(=O)N
       10   000049         1        52                                        C(=N)C(=N)N.C(=O)NC=O
       10   000050         1        53                                        C(=N)C(=N)N.C=CC(=O)N
       10   000051         1        54                                          C(=NC=N)N.C(=O)NC=O
       10   000052         1        55                                          C(=NC=N)N.C=CC(=O)N
       10   000053         1        56                                          C(=O)N.C=NC=C(N)N=C
       10   000054         1        57                                             C(=O)N.c1cncnc1N
       10   000055         1        58                                          C(=O)NC=O.C=C(N)N=C
       10   000056         1        59                                          C(=O)NC=O.C=CC(=N)N
       10   000057         1        60                                          C=C(N)N=C.C=CC(=O)N
       10   000058         1        61                                          C=CC(=N)N.C=CC(=O)N
       11   000059         1        62                                     C(=N)C(=N)N.C(=O)NC(=O)N
       11   000060         1        63                                     C(=N)C(=N)N.CC(=C)C(=O)N
       11   000061         1        64                                  C(=N)N.c1c[nH]c(=O)[nH]c1=O
       11   000062         1        65                                       C(=NC=N)N.C(=O)NC(=O)N
       11   000063         1        66                                       C(=NC=N)N.CC(=C)C(=O)N
       11   000064         1        67                                       C(=O)NC(=O)N.C=C(N)N=C
       11   000065         1        68                                       C(=O)NC(=O)N.C=CC(=N)N
       11   000066         1        69                                       C=C(N)N=C.CC(=C)C(=O)N
       11   000067         1        70                                       C=CC(=N)N.CC(=C)C(=O)N
