       #NI      #im       #nc       #ic                                                      #SMILES
        1   000001         1         1                                                            N
        2   000002         1         2                                                          C=C
        2   000003         1         3                                                          C=N
        2   000004         1         4                                                          C=O
        3   000005         2         6                                                       C(=N)N
        3   000006         1         7                                                       C(=O)N
        3   000007         1         8                                                         C=CN
        4   000008         1         9                                                    C(=N)(N)N
        4   000009         1        10                                                     C(=N)C=N
        4   000010         1        11                                                     C(=N)C=O
        4   000011         1        12                                                       C=CC=N
        4   000012         1        13                                                       C=CC=O
        4   000013         1        14                                                       C=CN=C
        4   000014         1        15                                                       C=NC=O
        5   000015         1        16                                                    C(=CN)C=O
        5   000016         1        17                                                  C(=N)C(=O)N
        5   000017         1        18                                                    C(=N)NC=O
        5   000018         1        19                                                    C(=NC=O)N
        5   000019         1        20                                                    C=C(N)N=C
        5   000020         1        21                                                    C=CC(=N)N
        5   000021         1        22                                                    C=CC(=O)N
        5   000022         1        23                                                      C=CN=CN
        5   000023         1        24                                                      C=CNC=O
        5   000024         1        25                                                    C=NC(=O)N
        5   000025         1        26                                                   c1cnc[nH]1
        6   000026         1        27                                                 C(=CN)C(=O)N
        6   000027         1        28                                                C(=N)C(=N)C=O
        6   000028         1        29                                                C(=N)N.C(=O)N
        6   000029         1        30                                                 C(=NC(=O)N)N
        6   000030         1        31                                                 C(=O)NC(=N)N
        6   000031         1        32                                                   C=C(N)N=CN
        7   000032         1        33                                                C=Nc1cnc[nH]1
        7   000033         1        34                                              c1c(nc[nH]1)C=O
        7   000034         1        35                                              c1c[nH]c(=O)nc1
        7   000035         1        36                                                c1cnc[nH]c1=O
        8   000036         1        37                                           C(=N)C(=O)N.C(=N)N
        8   000037         1        38                                             C(=N)N.C(=N)NC=O
        8   000038         1        39                                             C(=N)N.C=CC(=O)N
        8   000039         1        40                                             C(=NC=O)N.C(=O)N
        8   000040         1        41                                             C(=O)N.C=CC(=N)N
        8   000041         1        42                                             c1c(nc[nH]c1=O)N
        8   000042         1        43                                             c1c[nH]c(=O)nc1N
        8   000043         1        44                                             c1cnc([nH]c1=O)N
        9   000044         1        45                                          C(=N)N.C(=O)NC(=N)N
        9   000045         1        46                                          C(=NC(=O)N)N.C(=O)N
       10   000046         1        47                                        C(=N)C(=O)N.C(=NC=O)N
       10   000047         1        48                                        C(=N)C(=O)N.C=CC(=N)N
       10   000048         1        49                                         C(=N)N.c1cnc[nH]c1=O
       10   000049         1        50                                          C(=N)NC=O.C=CC(=N)N
       10   000050         1        51                                          C(=NC=O)N.C=CC(=O)N
       10   000051         1        52                                          C=CC(=N)N.C=CC(=O)N
       11   000052         1        53                                     C(=N)C(=O)N.C(=NC(=O)N)N
       11   000053         1        54                                      C(=N)N.c1cnc([nH]c1=O)N
       11   000054         1        55                                       C(=NC(=O)N)N.C=CC(=O)N
       11   000055         1        56                                       C(=NC=O)N.C(=O)NC(=N)N
       11   000056         1        57                                      C(=O)N.c1c[nH]c(=O)nc1N
       11   000057         1        58                                       C(=O)NC(=N)N.C=CC(=N)N
