       #NI      #im       #nc       #ic                                                      #SMILES
        1   000001        15        15                                                            C
        1   000002         9        24                                                            N
        1   000003         5        29                                                            O
        2   000004        13        42                                                          C=C
        2   000005        11        53                                                          C=O
        2   000006        12        65                                                           CC
        2   000007        11        76                                                           CN
        2   000008         2        78                                                           CO
        3   000009         9        87                                                       C(=O)N
        3   000010         3        90                                                       C(=O)O
        3   000011         3        93                                                         C=CN
        3   000012         2        95                                                         C=CO
        3   000013         4        99                                                         CC=C
        3   000014        12       111                                                         CC=O
        3   000015         5       116                                                          CCC
        3   000016         8       124                                                          CCN
        3   000017         4       128                                                          CCO
        3   000018         1       129                                                          CNC
        4   000019        10       139                                                      C(C=O)N
        4   000020         2       141                                                       C(CO)N
        4   000021         4       145                                                      C=C.C=C
        4   000022         2       147                                                      C=C.C=O
        4   000023         8       155                                                       C=C.CC
        4   000024         6       161                                                       C=C.CN
        4   000025        15       176                                                       C=CC=C
        4   000026         1       177                                                      C=O.C=O
        4   000027         4       181                                                       C=O.CC
        4   000028        11       192                                                       C=O.CN
        4   000029         2       194                                                       C=O.CO
        4   000030         9       203                                                      CC(=O)N
        4   000031         3       206                                                      CC(=O)O
        4   000032         2       208                                                       CC(C)O
        4   000033         2       210                                                        CC.CC
        4   000034         2       212                                                        CC.CN
        4   000035         3       215                                                        CC.CO
        4   000036         1       216                                                        CC=CN
        4   000037         4       220                                                        CCC=C
        4   000038         9       229                                                        CCC=O
        4   000039         3       232                                                         CCCN
        4   000040         1       233                                                        CN.CN
        4   000041         1       234                                                        CN.CO
        4   000042        10       244                                                        CNC=O
        4   000043         1       245                                                        CO.CO
        5   000044         2       247                                                   C(=O)N.C=C
        5   000045         9       256                                                   C(=O)N.C=O
        5   000046         2       258                                                    C(=O)N.CC
        5   000047         8       266                                                    C(=O)N.CN
        5   000048         3       269                                                    C(=O)N.CO
        5   000049         1       270                                                   C(=O)O.C=O
        5   000050         4       274                                                    C(=O)O.CC
        5   000051         3       277                                                    C(=O)O.CN
        5   000052         9       286                                                   C(C(=O)N)N
        5   000053         1       287                                                   C(C(=O)O)N
        5   000054         1       288                                                     C(CN)C=O
        5   000055         2       290                                                     C(CO)C=O
        5   000056         1       291                                                      C1CCNC1
        5   000057         2       293                                                     C=C.CC=C
        5   000058         8       301                                                     C=C.CC=O
        5   000059         6       307                                                      C=C.CCC
        5   000060         6       313                                                      C=C.CCN
        5   000061         2       315                                                      C=C.CCO
        5   000062         2       317                                                      C=C.CNC
        5   000063         2       319                                                    C=CC(=C)N
        5   000064         2       321                                                    C=CC(=C)O
        5   000065         2       323                                                      C=CC=CN
        5   000066         2       325                                                      C=CC=CO
