       #NI      #im       #nc       #ic                                                      #SMILES
        1   000001        37        37                                                            C
        1   000002        12        49                                                            N
        1   000003         1        50                                                            O
        1   000004         1        51                                                            S
        2   000005        19        70                                                          C=C
        2   000006         6        76                                                          C=N
        2   000007        56       132                                                          C=O
        2   000008       179       311                                                           CC
        2   000009        89       400                                                           CN
        2   000010        10       410                                                           CO
        2   000011         2       412                                                           CS
        3   000012         9       421                                                       C(=N)N
        3   000013        83       504                                                       C(=O)N
        3   000014        12       516                                                       C(=O)O
        3   000015         1       517                                                         C=CN
        3   000016         2       519                                                         C=CO
        3   000017         7       526                                                         CC=C
        3   000018        95       621                                                         CC=O
        3   000019       131       752                                                          CCC
        3   000020        84       836                                                          CCN
        3   000021        17       853                                                          CCO
        3   000022         1       854                                                          CCS
        3   000023         3       857                                                          CNC
        3   000024         1       858                                                          CSC
        4   000025         4       862                                                    C(=N)(N)N
        4   000026        76       938                                                      C(C=O)N
        4   000027        10       948                                                       C(CO)N
        4   000028        11       959                                                      C=C.C=O
        4   000029        23       982                                                       C=C.CC
        4   000030         2       984                                                       C=C.CN
        4   000031         2       986                                                       C=C.CO
        4   000032        18      1004                                                       C=CC=C
        4   000033         3      1007                                                      C=N.C=O
        4   000034         5      1012                                                       C=N.CC
        4   000035         1      1013                                                       C=N.CN
        4   000036         8      1021                                                      C=O.C=O
        4   000037       139      1160                                                       C=O.CC
        4   000038        76      1236                                                       C=O.CN
        4   000039         7      1243                                                       C=O.CO
        4   000040         2      1245                                                       C=O.CS
        4   000041         1      1246                                                      CC(=C)N
        4   000042        83      1329                                                      CC(=O)N
        4   000043        12      1341                                                      CC(=O)O
        4   000044        20      1361                                                       CC(C)C
        4   000045         7      1368                                                       CC(C)O
        4   000046       154      1522                                                        CC.CC
        4   000047        39      1561                                                        CC.CN
        4   000048        14      1575                                                        CC.CO
        4   000049         4      1579                                                        CC.CS
        4   000050         7      1586                                                        CCC=C
        4   000051        89      1675                                                        CCC=O
        4   000052        50      1725                                                         CCCC
        4   000053        73      1798                                                         CCCN
        4   000054         1      1799                                                         CCCS
        4   000055         1      1800                                                         CCSC
        4   000056         6      1806                                                        CN.CN
        4   000057         7      1813                                                        CN.CO
        4   000058         4      1817                                                        CNC=N
        4   000059        78      1895                                                        CNC=O
        4   000060         2      1897                                                        CO.CO
        5   000061         6      1903                                                   C(=N)N.C=O
        5   000062         8      1911                                                    C(=N)N.CC
        5   000063         1      1912                                                    C(=N)N.CN
        5   000064        11      1923                                                   C(=O)N.C=C
        5   000065         3      1926                                                   C(=O)N.C=N
        5   000066        58      1984                                                   C(=O)N.C=O
        5   000067       139      2123                                                    C(=O)N.CC
        5   000068        74      2197                                                    C(=O)N.CN
        5   000069        13      2210                                                    C(=O)N.CO
        5   000070         2      2212                                                    C(=O)N.CS
        5   000071        17      2229                                                    C(=O)O.CC
        5   000072         8      2237                                                    C(=O)O.CN
        5   000073         1      2238                                                    C(=O)O.CO
        5   000074        75      2313                                                   C(C(=O)N)N
        5   000075         1      2314                                                   C(C(=O)O)N
        5   000076         7      2321                                                     C(CN)C=O
        5   000077         1      2322                                                      C(CN)CS
        5   000078        10      2332                                                     C(CO)C=O
        5   000079         3      2335                                                      C1CCNC1
        5   000080        14      2349                                                     C=C.CC=O
        5   000081        22      2371                                                      C=C.CCC
        5   000082         9      2380                                                      C=C.CCN
        5   000083         5      2385                                                      C=C.CCO
        5   000084         2      2387                                                    C=CC(=C)O
        5   000085         2      2389                                                      C=CC=CO
        5   000086         7      2396                                                       C=CCCN
        5   000087         1      2397                                                     C=CN.C=O
        5   000088         9      2406                                                      C=CO.CC
        5   000089         4      2410                                                      C=CO.CN
        5   000090         4      2414                                                     C=N.CC=O
        5   000091         6      2420                                                      C=N.CCC
        5   000092         2      2422                                                      C=N.CCN
        5   000093         7      2429                                                     C=O.CC=C
        5   000094        26      2455                                                     C=O.CC=O
        5   000095       132      2587                                                      C=O.CCC
        5   000096        85      2672                                                      C=O.CCN
        5   000097        20      2692                                                      C=O.CCO
        5   000098         1      2693                                                      C=O.CCS
        5   000099         2      2695                                                      C=O.CNC
        5   000100         2      2697                                                      C=O.CSC
        5   000101         6      2703                                                    CC(=C)C=C
        5   000102        78      2781                                                     CC(=O)NC
        5   000103        11      2792                                                      CC(C)CN
        5   000104        70      2862                                                     CC(C=O)N
        5   000105         7      2869                                                      CC(CN)O
        5   000106        21      2890                                                      CC.CC=C
        5   000107       169      3059                                                      CC.CC=O
        5   000108        29      3088                                                       CC.CCC
        5   000109         3      3091                                                       CC.CCN
        5   000110         2      3093                                                       CC.CCO
        5   000111         2      3095                                                       CC.CSC
        5   000112         2      3097                                                      CC=C.CN
        5   000113         2      3099                                                      CC=C.CO
        5   000114         6      3105                                                      CC=CC=C
        5   000115        87      3192                                                      CC=O.CN
        5   000116         9      3201                                                      CC=O.CO
        5   000117         2      3203                                                      CC=O.CS
        5   000118         1      3204                                                     CCC(=C)N
        5   000119        78      3282                                                     CCC(=O)N
        5   000120        11      3293                                                     CCC(=O)O
        5   000121        16      3309                                                      CCC(C)C
        5   000122         1      3310                                                       CCC.CO
        5   000123        77      3387                                                       CCCC=O
        5   000124         7      3394                                                        CCCCC
        5   000125        47      3441                                                        CCCCN
        5   000126         1      3442                                                        CCCSC
        5   000127         2      3444                                                       CCN.CO
        5   000128         4      3448                                                       CCNC=N
        5   000129        72      3520                                                       CCNC=O
        5   000130         1      3521                                                       CCO.CN
        5   000131         3      3524                                                     CN(C)C=O
        5   000132         4      3528                                                     CNC(=N)N
        5   000133         3      3531                                                       CNCC=O
        5   000134         1      3532                                                   c1cnc[nH]1
        6   000135         4      3536                                                C(=N)(N)N.C=O
        6   000136         7      3543                                                C(=N)N.C(=O)N
        6   000137         7      3550                                                  C(=N)N.CC=O
        6   000138        49      3599                                                C(=O)N.C(=O)N
